index,line,category,role,tag,enabled,source,kind,decision,repo_path,new_url,original_url,bytes,status,error
1,8,general,resource,resource_parser_url,unknown,KOP-XIAO/QuantumultX,jsdelivr-gh,excluded,,,https://cdn.jsdelivr.net/gh/KOP-XIAO/QuantumultX@master/Scripts/resource-parser.js,0,,
2,9,general,resource,geo_location_checker,unknown,KOP-XIAO/QuantumultX,raw,excluded,,,https://raw.githubusercontent.com/KOP-XIAO/QuantumultX/master/Scripts/IP_API.js,0,,
3,10,icons,icon,profile_img_url,commented,jimmymitlavigne/PinkRules,raw,organized,quantumult/icons/pink02.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/pink02.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/icon/Pink02.png,2130,copied,
4,46,icons,icon,url-latency-benchmark,unknown,Koolson/Qure,raw,organized,quantumult/icons/oracle.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/oracle.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Oracle.png,1539,copied,
5,49,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/cydia.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/cydia.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Cydia.png,3154,copied,
6,50,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/singapore.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/singapore.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Singapore.png,1577,copied,
7,51,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/hk.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/hk.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/HK.png,1496,copied,
8,52,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/us.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/us.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/US.png,1693,copied,
9,53,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/japan.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/japan.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Japan.png,1312,copied,
10,54,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/uk.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/uk.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/UK.png,1630,copied,
11,55,icons,icon,static,unknown,jimmymitlavigne/pinkrules,raw,organized,quantumult/icons/asn.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/asn.png,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/icon/asn.png,2067,copied,
12,56,icons,icon,static,unknown,jimmymitlavigne/pinkrules,raw,organized,quantumult/icons/ac.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/ac.png,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/icon/ac.png,5517,copied,
13,57,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/disney-plus.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/disney-plus.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Disney%2B.png,4278,copied,
14,58,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/hulu.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/hulu.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Hulu.png,1342,copied,
15,59,icons,icon,static,unknown,jimmymitlavigne/pinkrules,raw,organized,quantumult/icons/paramountplus.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/paramountplus.png,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/icon/Paramountplus.png,6784,copied,
16,60,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/hbo.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/hbo.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/HBO.png,2101,copied,
17,61,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/netflix.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/netflix.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Netflix.png,1497,copied,
18,62,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/spotify.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/spotify.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Spotify.png,2503,copied,
19,63,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/youtube.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/youtube.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/YouTube.png,1500,copied,
20,64,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/apple_news.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/apple_news.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Apple_News.png,1911,copied,
21,67,icons,icon,static,unknown,jimmymitlavigne/pinkrules,raw,organized,quantumult/icons/notion.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/notion.png,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/icon/Notion.png,1991,copied,
22,68,icons,icon,static,unknown,jimmymitlavigne/pinkrules,raw,organized,quantumult/icons/adobecc.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/adobecc.png,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/icon/Adobecc.png,2966,copied,
23,69,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/apple.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/apple.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Apple.png,1747,copied,
24,70,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/google.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/google.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Google.png,1841,copied,
25,71,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/pornhub.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/pornhub.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Pornhub.png,2439,copied,
26,72,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/netease_music_unlock.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/netease_music_unlock.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Netease_Music_Unlock.png,2696,copied,
27,73,icons,icon,static,unknown,jimmymitlavigne/PinkRules,raw,organized,quantumult/icons/cctv.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/cctv.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/icon/CCTV.png,2463,copied,
28,74,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/tiktok.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/tiktok.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/TikTok.png,2127,copied,
29,75,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/telegram.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/telegram.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Telegram.png,2718,copied,
30,76,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/microsoft.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/microsoft.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Microsoft.png,778,copied,
31,77,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/paypal.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/paypal.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/PayPal.png,1656,copied,
32,78,icons,icon,static,unknown,jimmymitlavigne/PinkRules,raw,organized,quantumult/icons/outside.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/outside.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/icon/Outside.png,2880,copied,
33,80,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/china_map.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/china_map.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/China_Map.png,2171,copied,
34,81,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/advertising.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/advertising.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Advertising.png,2479,copied,
35,82,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/speedtest.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/speedtest.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Speedtest.png,2414,copied,
36,83,icons,icon,static,unknown,Koolson/Qure,raw,organized,quantumult/icons/final.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/final.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Final.png,1485,copied,
37,89,icons,icon,TAG,true,Koolson/Qure,raw,organized,quantumult/icons/bookpedia.png,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/icons/bookpedia.png,https://raw.githubusercontent.com/Koolson/Qure/master/IconSet/Bookpedia.png,1367,copied,
